dataset,Type,dir,site,transect_area_m2,taxon,class,n
nsu11_esa,Nearshore Ridge Complex,S,107,3600,DSTO,>4cm,66
nsu11_esa,Nearshore Ridge Complex,S,107,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,108,3600,ACER,>4cm,23
nsu11_esa,Nearshore Ridge Complex,S,108,3600,DSTO,>4cm,42
nsu11_esa,Nearshore Ridge Complex,S,108,3600,ORBI,>4cm,3
nsu11_esa,Nearshore Ridge Complex,S,109,3600,ACER,>4cm,135
nsu11_esa,Nearshore Ridge Complex,S,109,3600,DSTO,>4cm,25
nsu11_esa,Nearshore Ridge Complex,S,109,3600,ORBI,>4cm,5
nsu11_esa,Nearshore Ridge Complex,S,110,3600,ACER,>4cm,17
nsu11_esa,Nearshore Ridge Complex,S,110,3600,DSTO,>4cm,43
nsu11_esa,Nearshore Ridge Complex,S,110,3600,ORBI,>4cm,2
nsu11_esa,Nearshore Ridge Complex,S,111,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,111,3600,DSTO,>4cm,32
nsu11_esa,Nearshore Ridge Complex,S,111,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,113,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,113,3600,DSTO,>4cm,69
nsu11_esa,Inner Reef,S,113,3600,ORBI,>4cm,7
nsu11_esa,Inner Reef,S,114,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,114,3600,DSTO,>4cm,23
nsu11_esa,Inner Reef,S,114,3600,ORBI,>4cm,12
nsu11_esa,Inner Reef,S,115,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,115,3600,DSTO,>4cm,6
nsu11_esa,Inner Reef,S,115,3600,ORBI,>4cm,1
nsu11_esa,Middle Reef,S,116,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,116,3600,DSTO,>4cm,7
nsu11_esa,Middle Reef,S,116,3600,ORBI,>4cm,1
nsu11_esa,Middle Reef,S,117,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,117,3600,DSTO,>4cm,9
nsu11_esa,Middle Reef,S,117,3600,ORBI,>4cm,1
nsu11_esa,Middle Reef,S,118,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,118,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,118,3600,ORBI,>4cm,1
nsu11_esa,Outer Reef,S,119,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,119,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,119,3600,ORBI,>4cm,4
nsu11_esa,Inner Reef,S,12,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,12,3600,DSTO,>4cm,28
nsu11_esa,Inner Reef,S,12,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,120,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,120,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,120,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,121,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,121,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,121,3600,ORBI,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,122,3600,ACER,>4cm,54
nsu11_esa,Nearshore Ridge Complex,S,122,3600,DSTO,>4cm,82
nsu11_esa,Nearshore Ridge Complex,S,122,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,123,3600,ACER,>4cm,150
nsu11_esa,Nearshore Ridge Complex,S,123,3600,DSTO,>4cm,87
nsu11_esa,Nearshore Ridge Complex,S,123,3600,ORBI,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,124,3600,ACER,>4cm,57
nsu11_esa,Nearshore Ridge Complex,S,124,3600,DSTO,>4cm,20
nsu11_esa,Nearshore Ridge Complex,S,124,3600,ORBI,>4cm,3
nsu11_esa,Nearshore Ridge Complex,S,125,3600,ACER,>4cm,37
nsu11_esa,Nearshore Ridge Complex,S,125,3600,DSTO,>4cm,18
nsu11_esa,Nearshore Ridge Complex,S,125,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,126,3600,ACER,>4cm,3
nsu11_esa,Nearshore Ridge Complex,S,126,3600,DSTO,>4cm,32
nsu11_esa,Nearshore Ridge Complex,S,126,3600,ORBI,>4cm,5
nsu11_esa,Nearshore Ridge Complex,S,127,3600,ACER,>4cm,22
nsu11_esa,Nearshore Ridge Complex,S,127,3600,DSTO,>4cm,14
nsu11_esa,Nearshore Ridge Complex,S,127,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,128,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,128,3600,DSTO,>4cm,11
nsu11_esa,Inner Reef,S,128,3600,ORBI,>4cm,0
nsu11_esa,Inner Reef,S,129,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,129,3600,DSTO,>4cm,28
nsu11_esa,Inner Reef,S,129,3600,ORBI,>4cm,2
nsu11_esa,Middle Reef,S,13,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,13,3600,DSTO,>4cm,6
nsu11_esa,Middle Reef,S,13,3600,ORBI,>4cm,0
nsu11_esa,Inner Reef,S,130,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,130,3600,DSTO,>4cm,38
nsu11_esa,Inner Reef,S,130,3600,ORBI,>4cm,33
nsu11_esa,Inner Reef,S,131,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,131,3600,DSTO,>4cm,4
nsu11_esa,Inner Reef,S,131,3600,ORBI,>4cm,2
nsu11_esa,Middle Reef,S,132,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,132,3600,DSTO,>4cm,10
nsu11_esa,Middle Reef,S,132,3600,ORBI,>4cm,3
nsu11_esa,Middle Reef,S,133,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,133,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,133,3600,ORBI,>4cm,3
nsu11_esa,Middle Reef,S,134,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,134,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,134,3600,ORBI,>4cm,5
nsu11_esa,Outer Reef,S,135,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,135,3600,DSTO,>4cm,5
nsu11_esa,Outer Reef,S,135,3600,ORBI,>4cm,11
nsu11_esa,Outer Reef,S,136,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,136,3600,DSTO,>4cm,6
nsu11_esa,Outer Reef,S,136,3600,ORBI,>4cm,8
nsu11_esa,Outer Reef,S,137,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,137,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,137,3600,ORBI,>4cm,3
nsu11_esa,Nearshore Ridge Complex,S,138,3600,ACER,>4cm,17
nsu11_esa,Nearshore Ridge Complex,S,138,3600,DSTO,>4cm,38
nsu11_esa,Nearshore Ridge Complex,S,138,3600,ORBI,>4cm,3
nsu11_esa,Nearshore Ridge Complex,S,139,3600,ACER,>4cm,15
nsu11_esa,Nearshore Ridge Complex,S,139,3600,DSTO,>4cm,28
nsu11_esa,Nearshore Ridge Complex,S,139,3600,ORBI,>4cm,2
nsu11_esa,Middle Reef,S,14,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,14,3600,DSTO,>4cm,2
nsu11_esa,Middle Reef,S,14,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,140,3600,ACER,>4cm,44
nsu11_esa,Nearshore Ridge Complex,S,140,3600,DSTO,>4cm,12
nsu11_esa,Nearshore Ridge Complex,S,140,3600,ORBI,>4cm,19
nsu11_esa,Nearshore Ridge Complex,S,141,3600,ACER,>4cm,6
nsu11_esa,Nearshore Ridge Complex,S,141,3600,DSTO,>4cm,41
nsu11_esa,Nearshore Ridge Complex,S,141,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,142,3600,ACER,>4cm,2
nsu11_esa,Nearshore Ridge Complex,S,142,3600,DSTO,>4cm,11
nsu11_esa,Nearshore Ridge Complex,S,142,3600,ORBI,>4cm,6
nsu11_esa,Inner Reef,S,143,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,143,3600,DSTO,>4cm,22
nsu11_esa,Inner Reef,S,143,3600,ORBI,>4cm,5
nsu11_esa,Inner Reef,S,144,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,144,3600,DSTO,>4cm,10
nsu11_esa,Inner Reef,S,144,3600,ORBI,>4cm,2
nsu11_esa,Inner Reef,S,145,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,145,3600,DSTO,>4cm,10
nsu11_esa,Inner Reef,S,145,3600,ORBI,>4cm,24
nsu11_esa,Inner Reef,S,146,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,146,3600,DSTO,>4cm,9
nsu11_esa,Inner Reef,S,146,3600,ORBI,>4cm,4
nsu11_esa,Middle Reef,S,147,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,147,3600,DSTO,>4cm,4
nsu11_esa,Middle Reef,S,147,3600,ORBI,>4cm,0
nsu11_esa,Middle Reef,S,148,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,148,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,148,3600,ORBI,>4cm,10
nsu11_esa,Outer Reef,S,149,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,149,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,149,3600,ORBI,>4cm,2
nsu11_esa,Outer Reef,S,15,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,15,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,15,3600,ORBI,>4cm,2
nsu11_esa,Outer Reef,S,150,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,150,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,150,3600,ORBI,>4cm,4
nsu11_esa,Outer Reef,S,151,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,151,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,151,3600,ORBI,>4cm,2
nsu11_esa,Nearshore Ridge Complex,S,152,3600,ACER,>4cm,43
nsu11_esa,Nearshore Ridge Complex,S,152,3600,DSTO,>4cm,14
nsu11_esa,Nearshore Ridge Complex,S,152,3600,ORBI,>4cm,2
nsu11_esa,Nearshore Ridge Complex,S,153,3600,ACER,>4cm,25
nsu11_esa,Nearshore Ridge Complex,S,153,3600,DSTO,>4cm,29
nsu11_esa,Nearshore Ridge Complex,S,153,3600,ORBI,>4cm,4
nsu11_esa,Nearshore Ridge Complex,S,154,3600,ACER,>4cm,20
nsu11_esa,Nearshore Ridge Complex,S,154,3600,DSTO,>4cm,8
nsu11_esa,Nearshore Ridge Complex,S,154,3600,ORBI,>4cm,2
nsu11_esa,Inner Reef,S,155,3600,ACER,>4cm,3
nsu11_esa,Inner Reef,S,155,3600,DSTO,>4cm,13
nsu11_esa,Inner Reef,S,155,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,156,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,156,3600,DSTO,>4cm,9
nsu11_esa,Inner Reef,S,156,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,157,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,157,3600,DSTO,>4cm,14
nsu11_esa,Inner Reef,S,157,3600,ORBI,>4cm,12
nsu11_esa,Inner Reef,S,158,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,158,3600,DSTO,>4cm,8
nsu11_esa,Inner Reef,S,158,3600,ORBI,>4cm,9
nsu11_esa,Middle Reef,S,159,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,159,3600,DSTO,>4cm,9
nsu11_esa,Middle Reef,S,159,3600,ORBI,>4cm,4
nsu11_esa,Outer Reef,S,16,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,16,3600,DSTO,>4cm,3
nsu11_esa,Outer Reef,S,16,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,160,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,160,3600,DSTO,>4cm,3
nsu11_esa,Outer Reef,S,160,3600,ORBI,>4cm,11
nsu11_esa,Outer Reef,S,161,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,161,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,161,3600,ORBI,>4cm,11
nsu11_esa,Outer Reef,S,162,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,162,3600,DSTO,>4cm,7
nsu11_esa,Outer Reef,S,162,3600,ORBI,>4cm,6
nsu11_esa,Nearshore Ridge Complex,S,163,3600,ACER,>4cm,5
nsu11_esa,Nearshore Ridge Complex,S,163,3600,DSTO,>4cm,17
nsu11_esa,Nearshore Ridge Complex,S,163,3600,ORBI,>4cm,0
nsu11_esa,Inner Reef,S,164,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,164,3600,DSTO,>4cm,8
nsu11_esa,Inner Reef,S,164,3600,ORBI,>4cm,5
nsu11_esa,Inner Reef,S,165,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,165,3600,DSTO,>4cm,7
nsu11_esa,Inner Reef,S,165,3600,ORBI,>4cm,2
nsu11_esa,Inner Reef,S,166,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,166,3600,DSTO,>4cm,12
nsu11_esa,Inner Reef,S,166,3600,ORBI,>4cm,21
nsu11_esa,Inner Reef,S,167,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,167,3600,DSTO,>4cm,5
nsu11_esa,Inner Reef,S,167,3600,ORBI,>4cm,1
nsu11_esa,Middle Reef,S,168,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,168,3600,DSTO,>4cm,3
nsu11_esa,Middle Reef,S,168,3600,ORBI,>4cm,2
nsu11_esa,Outer Reef,S,169,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,169,3600,DSTO,>4cm,3
nsu11_esa,Outer Reef,S,169,3600,ORBI,>4cm,8
nsu11_esa,Outer Reef,S,17,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,17,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,17,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,170,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,170,3600,DSTO,>4cm,3
nsu11_esa,Outer Reef,S,170,3600,ORBI,>4cm,8
nsu11_esa,Outer Reef,S,171,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,171,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,171,3600,ORBI,>4cm,20
nsu11_esa,Inner Reef,S,172,3600,ACER,>4cm,3
nsu11_esa,Inner Reef,S,172,3600,DSTO,>4cm,22
nsu11_esa,Inner Reef,S,172,3600,ORBI,>4cm,6
nsu11_esa,Inner Reef,S,173,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,173,3600,DSTO,>4cm,3
nsu11_esa,Inner Reef,S,173,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,174,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,174,3600,DSTO,>4cm,27
nsu11_esa,Inner Reef,S,174,3600,ORBI,>4cm,32
nsu11_esa,Inner Reef,S,175,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,175,3600,DSTO,>4cm,6
nsu11_esa,Inner Reef,S,175,3600,ORBI,>4cm,3
nsu11_esa,Middle Reef,S,176,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,176,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,176,3600,ORBI,>4cm,3
nsu11_esa,Outer Reef,S,177,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,177,3600,DSTO,>4cm,6
nsu11_esa,Outer Reef,S,177,3600,ORBI,>4cm,6
nsu11_esa,Outer Reef,S,178,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,178,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,178,3600,ORBI,>4cm,23
nsu11_esa,Outer Reef,S,179,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,179,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,179,3600,ORBI,>4cm,13
nsu11_esa,Nearshore Ridge Complex,S,18,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,18,3600,DSTO,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,18,3600,ORBI,>4cm,0
nsu11_esa,Inner Reef,S,180,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,180,3600,DSTO,>4cm,14
nsu11_esa,Inner Reef,S,180,3600,ORBI,>4cm,2
nsu11_esa,Inner Reef,S,181,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,181,3600,DSTO,>4cm,43
nsu11_esa,Inner Reef,S,181,3600,ORBI,>4cm,6
nsu11_esa,Inner Reef,S,182,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,182,3600,DSTO,>4cm,54
nsu11_esa,Inner Reef,S,182,3600,ORBI,>4cm,7
nsu11_esa,Inner Reef,S,183,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,183,3600,DSTO,>4cm,4
nsu11_esa,Inner Reef,S,183,3600,ORBI,>4cm,3
nsu11_esa,Outer Reef,S,184,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,184,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,184,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,185,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,185,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,185,3600,ORBI,>4cm,25
nsu11_esa,Outer Reef,S,186,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,186,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,186,3600,ORBI,>4cm,16
nsu11_esa,Inner Reef,S,187,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,187,3600,DSTO,>4cm,26
nsu11_esa,Inner Reef,S,187,3600,ORBI,>4cm,3
nsu11_esa,Inner Reef,S,188,3600,ACER,>4cm,1
nsu11_esa,Inner Reef,S,188,3600,DSTO,>4cm,37
nsu11_esa,Inner Reef,S,188,3600,ORBI,>4cm,11
nsu11_esa,Inner Reef,S,189,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,189,3600,DSTO,>4cm,18
nsu11_esa,Inner Reef,S,189,3600,ORBI,>4cm,1
nsu11_esa,Nearshore Ridge Complex,S,19,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,19,3600,DSTO,>4cm,5
nsu11_esa,Nearshore Ridge Complex,S,19,3600,ORBI,>4cm,0
nsu11_esa,Middle Reef,S,190,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,190,3600,DSTO,>4cm,7
nsu11_esa,Middle Reef,S,190,3600,ORBI,>4cm,15
nsu11_esa,Outer Reef,S,191,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,191,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,191,3600,ORBI,>4cm,1
nsu11_esa,Outer Reef,S,192,3600,ACER,>4cm,1
nsu11_esa,Outer Reef,S,192,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,192,3600,ORBI,>4cm,32
nsu11_esa,Outer Reef,S,193,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,193,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,193,3600,ORBI,>4cm,7
nsu11_esa,Inner Reef,S,194,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,194,3600,DSTO,>4cm,59
nsu11_esa,Inner Reef,S,194,3600,ORBI,>4cm,18
nsu11_esa,Inner Reef,S,195,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,195,3600,DSTO,>4cm,8
nsu11_esa,Inner Reef,S,195,3600,ORBI,>4cm,0
nsu11_esa,Middle Reef,S,196,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,196,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,196,3600,ORBI,>4cm,2
nsu11_esa,Outer Reef,S,197,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,197,3600,DSTO,>4cm,7
nsu11_esa,Outer Reef,S,197,3600,ORBI,>4cm,30
nsu11_esa,Outer Reef,S,198,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,198,3600,DSTO,>4cm,3
nsu11_esa,Outer Reef,S,198,3600,ORBI,>4cm,31
nsu11_esa,Outer Reef,S,199,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,199,3600,DSTO,>4cm,2
nsu11_esa,Outer Reef,S,199,3600,ORBI,>4cm,8
nsu11_esa,Nearshore Ridge Complex,S,2,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,2,3600,DSTO,>4cm,60
nsu11_esa,Nearshore Ridge Complex,S,2,3600,ORBI,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,20,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,20,3600,DSTO,>4cm,35
nsu11_esa,Nearshore Ridge Complex,S,20,3600,ORBI,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,200,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,200,3600,DSTO,>4cm,21
nsu11_esa,Nearshore Ridge Complex,S,200,3600,ORBI,>4cm,8
nsu11_esa,Inner Reef,S,201,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,201,3600,DSTO,>4cm,51
nsu11_esa,Inner Reef,S,201,3600,ORBI,>4cm,10
nsu11_esa,Inner Reef,S,202,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,202,3600,DSTO,>4cm,25
nsu11_esa,Inner Reef,S,202,3600,ORBI,>4cm,13
nsu11_esa,Inner Reef,S,203,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,203,3600,DSTO,>4cm,10
nsu11_esa,Inner Reef,S,203,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,204,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,204,3600,DSTO,>4cm,10
nsu11_esa,Outer Reef,S,204,3600,ORBI,>4cm,24
nsu11_esa,Outer Reef,S,205,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,205,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,205,3600,ORBI,>4cm,68
nsu11_esa,Outer Reef,S,206,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,206,3600,DSTO,>4cm,8
nsu11_esa,Outer Reef,S,206,3600,ORBI,>4cm,12
nsu11_esa,Inner Reef,S,207,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,207,3600,DSTO,>4cm,27
nsu11_esa,Inner Reef,S,207,3600,ORBI,>4cm,4
nsu11_esa,Inner Reef,S,208,3600,ACER,>4cm,9
nsu11_esa,Inner Reef,S,208,3600,DSTO,>4cm,39
nsu11_esa,Inner Reef,S,208,3600,ORBI,>4cm,13
nsu11_esa,Inner Reef,S,209,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,209,3600,DSTO,>4cm,8
nsu11_esa,Inner Reef,S,209,3600,ORBI,>4cm,2
nsu11_esa,Nearshore Ridge Complex,S,21,3600,ACER,>4cm,0
nsu11_esa,Nearshore Ridge Complex,S,21,3600,DSTO,>4cm,34
nsu11_esa,Nearshore Ridge Complex,S,21,3600,ORBI,>4cm,0
nsu11_esa,Middle Reef,S,210,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,210,3600,DSTO,>4cm,1
nsu11_esa,Middle Reef,S,210,3600,ORBI,>4cm,20
nsu11_esa,Middle Reef,S,211,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,211,3600,DSTO,>4cm,5
nsu11_esa,Middle Reef,S,211,3600,ORBI,>4cm,6
nsu11_esa,Outer Reef,S,212,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,212,3600,DSTO,>4cm,5
nsu11_esa,Outer Reef,S,212,3600,ORBI,>4cm,16
nsu11_esa,Outer Reef,S,213,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,213,3600,DSTO,>4cm,0
nsu11_esa,Outer Reef,S,213,3600,ORBI,>4cm,0
nsu11_esa,Outer Reef,S,214,3600,ACER,>4cm,0
nsu11_esa,Outer Reef,S,214,3600,DSTO,>4cm,1
nsu11_esa,Outer Reef,S,214,3600,ORBI,>4cm,5
nsu11_esa,Inner Reef,S,215,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,215,3600,DSTO,>4cm,27
nsu11_esa,Inner Reef,S,215,3600,ORBI,>4cm,1
nsu11_esa,Inner Reef,S,216,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,216,3600,DSTO,>4cm,20
nsu11_esa,Inner Reef,S,216,3600,ORBI,>4cm,14
nsu11_esa,Inner Reef,S,217,3600,ACER,>4cm,0
nsu11_esa,Inner Reef,S,217,3600,DSTO,>4cm,6
nsu11_esa,Inner Reef,S,217,3600,ORBI,>4cm,4
nsu11_esa,Middle Reef,S,218,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,218,3600,DSTO,>4cm,3
nsu11_esa,Middle Reef,S,218,3600,ORBI,>4cm,32
nsu11_esa,Middle Reef,S,219,3600,ACER,>4cm,0
nsu11_esa,Middle Reef,S,219,3600,DSTO,>4cm,3
nsu11_esa,Middle Reef,S,219,3600,ORBI,>4cm,4
nsu11_esa,Nearshore Ridge Complex,S,22,3600,ACER,>4cm,2
