site,taxon,class,n
10,ORBI,>4cm,0
10,PAME,<4cm,0
10,PAME,>4cm,0
10,PORI,<4cm,0
10,PORI,>4cm,0
10,SCOL,>4cm,0
10,SIDE,<4cm,0
10,SIDE,>4cm,0
10,SINT,<4cm,0
10,SINT,>4cm,0
10,SOLE,<4cm,0
10,SOLE,>4cm,0
11,ACER,<4cm,0
11,ACER,>4cm,0
11,AGAR,<4cm,0
11,AGAR,>4cm,0
11,DSTO,>4cm,0
11,EFAS,>4cm,0
11,FAVI,<4cm,0
11,FAVI,>4cm,0
11,FFRA,>4cm,0
11,MADR,<4cm,0
11,MADR,>4cm,0
11,MANG,>4cm,0
11,MCAV,<4cm,0
11,MCAV,>4cm,0
11,MEAN,<4cm,0
11,MMEA,>4cm,0
11,MUSS,<4cm,0
11,MYCE,>4cm,0
11,OCUL,<4cm,0
11,OCUL,>4cm,0
11,ORBI,<4cm,0
11,ORBI,>4cm,0
11,PAME,<4cm,0
11,PAME,>4cm,0
11,PORI,<4cm,0
11,PORI,>4cm,0
11,SCOL,>4cm,0
11,SIDE,<4cm,0
11,SIDE,>4cm,0
11,SINT,<4cm,0
11,SINT,>4cm,0
11,SOLE,<4cm,0
11,SOLE,>4cm,0
12,ACER,<4cm,0
12,ACER,>4cm,0
12,AGAR,<4cm,0
12,AGAR,>4cm,0
12,DSTO,>4cm,0
12,EFAS,>4cm,0
12,FAVI,<4cm,0
12,FAVI,>4cm,0
12,FFRA,>4cm,0
12,MADR,<4cm,0
12,MADR,>4cm,0
12,MANG,>4cm,0
12,MCAV,<4cm,0
12,MCAV,>4cm,0
12,MEAN,<4cm,0
12,MMEA,>4cm,0
12,MUSS,<4cm,0
12,MYCE,>4cm,0
12,OCUL,<4cm,0
12,OCUL,>4cm,0
12,ORBI,<4cm,0
12,ORBI,>4cm,0
12,PAME,<4cm,0
12,PAME,>4cm,0
12,PORI,<4cm,0
12,PORI,>4cm,0
12,SCOL,>4cm,0
12,SIDE,<4cm,0
12,SIDE,>4cm,0
12,SINT,<4cm,0
12,SINT,>4cm,1
12,SOLE,<4cm,0
12,SOLE,>4cm,0
13,ACER,<4cm,0
13,ACER,>4cm,0
13,AGAR,<4cm,0
13,AGAR,>4cm,0
13,DSTO,>4cm,1
13,EFAS,>4cm,1
13,FAVI,<4cm,0
13,FAVI,>4cm,0
13,FFRA,>4cm,0
13,MADR,<4cm,0
13,MADR,>4cm,0
13,MANG,>4cm,0
13,MCAV,<4cm,0
13,MCAV,>4cm,3
13,MEAN,<4cm,0
13,MMEA,>4cm,0
13,MUSS,<4cm,0
13,MYCE,>4cm,0
13,OCUL,<4cm,0
13,OCUL,>4cm,0
13,ORBI,<4cm,0
13,ORBI,>4cm,0
13,PAME,<4cm,0
13,PAME,>4cm,0
13,PORI,<4cm,1
13,PORI,>4cm,1
13,SCOL,>4cm,0
13,SIDE,<4cm,11
13,SIDE,>4cm,7
13,SINT,<4cm,0
13,SINT,>4cm,2
13,SOLE,<4cm,0
13,SOLE,>4cm,0
14,ACER,<4cm,0
14,ACER,>4cm,0
14,AGAR,<4cm,0
14,AGAR,>4cm,0
14,DSTO,>4cm,0
14,EFAS,>4cm,0
14,FAVI,<4cm,0
14,FAVI,>4cm,0
14,FFRA,>4cm,0
14,MADR,<4cm,0
14,MADR,>4cm,0
14,MANG,>4cm,0
14,MCAV,<4cm,0
14,MCAV,>4cm,0
14,MEAN,<4cm,0
14,MMEA,>4cm,0
14,MUSS,<4cm,0
14,MYCE,>4cm,0
14,OCUL,<4cm,0
14,OCUL,>4cm,0
14,ORBI,<4cm,0
14,ORBI,>4cm,0
14,PAME,<4cm,0
14,PAME,>4cm,0
14,PORI,<4cm,0
14,PORI,>4cm,0
14,SCOL,>4cm,0
14,SIDE,<4cm,0
14,SIDE,>4cm,0
14,SINT,<4cm,0
14,SINT,>4cm,0
14,SOLE,<4cm,0
14,SOLE,>4cm,0
15,ACER,<4cm,0
15,ACER,>4cm,0
15,AGAR,<4cm,0
15,AGAR,>4cm,0
15,DSTO,>4cm,0
15,EFAS,>4cm,0
15,FAVI,<4cm,0
15,FAVI,>4cm,0
15,FFRA,>4cm,0
15,MADR,<4cm,0
15,MADR,>4cm,0
15,MANG,>4cm,0
15,MCAV,<4cm,0
15,MCAV,>4cm,0
15,MEAN,<4cm,0
15,MMEA,>4cm,0
15,MUSS,<4cm,0
15,MYCE,>4cm,0
15,OCUL,<4cm,0
15,OCUL,>4cm,0
15,ORBI,<4cm,0
15,ORBI,>4cm,0
15,PAME,<4cm,0
15,PAME,>4cm,0
15,PORI,<4cm,0
15,PORI,>4cm,0
15,SCOL,>4cm,0
15,SIDE,<4cm,0
15,SIDE,>4cm,0
15,SINT,<4cm,0
15,SINT,>4cm,0
15,SOLE,<4cm,0
15,SOLE,>4cm,0
16,ACER,<4cm,0
16,ACER,>4cm,0
16,AGAR,<4cm,0
16,AGAR,>4cm,0
16,DSTO,>4cm,0
16,EFAS,>4cm,0
16,FAVI,<4cm,0
16,FAVI,>4cm,0
16,FFRA,>4cm,0
16,MADR,<4cm,0
16,MADR,>4cm,0
16,MANG,>4cm,0
16,MCAV,<4cm,0
16,MCAV,>4cm,0
16,MEAN,<4cm,0
16,MMEA,>4cm,0
16,MUSS,<4cm,0
16,MYCE,>4cm,0
16,OCUL,<4cm,0
16,OCUL,>4cm,0
16,ORBI,<4cm,0
16,ORBI,>4cm,0
16,PAME,<4cm,0
16,PAME,>4cm,0
16,PORI,<4cm,0
16,PORI,>4cm,0
16,SCOL,>4cm,0
16,SIDE,<4cm,0
16,SIDE,>4cm,1
16,SINT,<4cm,0
16,SINT,>4cm,1
16,SOLE,<4cm,0
16,SOLE,>4cm,0
17,ACER,<4cm,0
17,ACER,>4cm,0
17,AGAR,<4cm,0
17,AGAR,>4cm,3
17,DSTO,>4cm,0
17,EFAS,>4cm,0
