taxon,class,Nearshore Ridge Complex,Inner Reef,Middle Reef,Outer Reef
PCLI,>4cm,0.0081 [0.0031<e2><80><93>0.017],0.00078 [0.000016<e2><80><93>0.0034],0.00090 [0.000014<e2><80><93>0.0040],0.00056 [0.0000081<e2><80><93>0.0021]
PORI,<4cm,0.15 [0.085<e2><80><93>0.26],0.080 [0.040<e2><80><93>0.14],0.10 [0.049<e2><80><93>0.19],0.56 [0.25<e2><80><93>1.1]
PORI,>4cm,0.16 [0.092<e2><80><93>0.26],0.24 [0.14<e2><80><93>0.40],0.33 [0.18<e2><80><93>0.56],0.87 [0.40<e2><80><93>1.6]
PORI,All,0.31 [0.21<e2><80><93>0.46],0.32 [0.21<e2><80><93>0.49],0.43 [0.27<e2><80><93>0.68],1.4 [0.74<e2><80><93>2.5]
PSTR,>4cm,0.011 [0.0053<e2><80><93>0.019],0.022 [0.012<e2><80><93>0.039],0.013 [0.0049<e2><80><93>0.027],0.0040 [0.0012<e2><80><93>0.0095]
SIDE,<4cm,1.8 [1.1<e2><80><93>2.7],1.1 [0.69<e2><80><93>1.7],0.64 [0.38<e2><80><93>1.0],0.78 [0.38<e2><80><93>1.4]
SIDE,>4cm,0.15 [0.092<e2><80><93>0.23],0.41 [0.25<e2><80><93>0.63],0.29 [0.17<e2><80><93>0.47],0.25 [0.12<e2><80><93>0.45]
SIDE,All,1.9 [1.2<e2><80><93>2.8],1.5 [1.1<e2><80><93>2.1],0.94 [0.62<e2><80><93>1.4],1.0 [0.55<e2><80><93>1.8]
SINT,<4cm,0.041 [0.022<e2><80><93>0.070],0.053 [0.028<e2><80><93>0.090],0.067 [0.034<e2><80><93>0.12],0.089 [0.038<e2><80><93>0.17]
SINT,>4cm,0.081 [0.047<e2><80><93>0.13],0.15 [0.090<e2><80><93>0.23],0.18 [0.11<e2><80><93>0.29],0.15 [0.070<e2><80><93>0.27]
SINT,All,0.12 [0.080<e2><80><93>0.18],0.20 [0.13<e2><80><93>0.29],0.25 [0.16<e2><80><93>0.38],0.24 [0.12<e2><80><93>0.40]
SOLE,<4cm,0.0074 [0.0024<e2><80><93>0.018],0.014 [0.0044<e2><80><93>0.034],0.0030 [0.00053<e2><80><93>0.0092],0.0092 [0.0025<e2><80><93>0.024]
SOLE,>4cm,0.027 [0.013<e2><80><93>0.048],0.024 [0.011<e2><80><93>0.043],0.010 [0.0034<e2><80><93>0.024],0.0076 [0.0027<e2><80><93>0.017]
SOLE,All,0.034 [0.019<e2><80><93>0.057],0.038 [0.020<e2><80><93>0.065],0.013 [0.0053<e2><80><93>0.028],0.017 [0.0069<e2><80><93>0.035]
